"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"2","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","8","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","9","Local variable 'myFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","10","Local variable 'myXmlToJavaParser' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","11","Local variable 'myQuiz' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"6","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","2","13","System.out.print is used","Java Logging Rules","SystemPrintln"
"7","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","15","Local variable 'fichier' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/IxmlToJava.java","3","12","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"9","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","24","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"10","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","24","The class 'JavaToXml' has a Cyclomatic Complexity of 3 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"11","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","24","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"12","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","26","Parameter 'fichier' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","26","Parameter 'quiz' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","26","The method 'run' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"15","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","27","Local variable 'racine' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","28","Local variable 'document' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"17","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","30","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"18","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","30","Local variable 'question' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"19","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","32","Avoid variables with short names like q","Naming Rules","ShortVariable"
"20","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","32","Local variable 'q' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"21","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","60","Avoid variables with short names like q","Naming Rules","ShortVariable"
"22","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","60","Parameter 'q' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"23","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","60","Parameter 'question' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","61","Local variable 'type' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","61","The String literal 'type' appears 11 times in this file; the first occurrence is on line 61","String and StringBuffer Rules","AvoidDuplicateLiterals"
"26","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","64","The String literal 'name' appears 10 times in this file; the first occurrence is on line 64","String and StringBuffer Rules","AvoidDuplicateLiterals"
"27","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","66","The String literal 'text' appears 51 times in this file; the first occurrence is on line 66","String and StringBuffer Rules","AvoidDuplicateLiterals"
"28","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","70","The String literal 'questionText' appears 9 times in this file; the first occurrence is on line 70","String and StringBuffer Rules","AvoidDuplicateLiterals"
"29","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","72","The String literal 'format' appears 8 times in this file; the first occurrence is on line 72","String and StringBuffer Rules","AvoidDuplicateLiterals"
"30","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","90","Do not add empty strings","Optimization Rules","AddEmptyString"
"31","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","94","Do not add empty strings","Optimization Rules","AddEmptyString"
"32","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","98","Do not add empty strings","Optimization Rules","AddEmptyString"
"33","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","102","Do not add empty strings","Optimization Rules","AddEmptyString"
"34","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","106","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"35","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","106","Avoid variables with short names like q","Naming Rules","ShortVariable"
"36","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","106","Parameter 'q' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"37","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","106","The method convertCalculated() has an NCSS line count of 132","Code Size Rules","NcssMethodCount"
"38","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","136","Do not add empty strings","Optimization Rules","AddEmptyString"
"39","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","155","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"40","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","157","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"41","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","160","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"42","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","164","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"43","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","172","Avoid excessively long variable names like correctanswerformat","Naming Rules","LongVariable"
"44","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","176","Avoid excessively long variable names like correctanswerlength","Naming Rules","LongVariable"
"45","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","202","Avoid excessively long variable names like dataset_definitions","Naming Rules","LongVariable"
"46","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","205","Avoid excessively long variable names like dataset_definition","Naming Rules","LongVariable"
"47","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","281","Avoid variables with short names like q","Naming Rules","ShortVariable"
"48","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","309","Avoid variables with short names like q","Naming Rules","ShortVariable"
"49","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","648","Avoid excessively long variable names like partiallycorrectfeedback","Naming Rules","LongVariable"
"50","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","2","764","System.out.print is used","Java Logging Rules","SystemPrintln"
"51","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","765","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"52","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","2","774","System.out.print is used","Java Logging Rules","SystemPrintln"
"53","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","775","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"54","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Question.java","3","9","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"55","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Question.java","3","9","This abstract class does not have any abstract methods","Design Rules","AbstractClassWithoutAbstractMethod"
"56","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Question.java","3","17","Parameter 'mName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"57","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Question.java","3","25","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"58","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"59","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","12","Private field 'quizName' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"60","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"61","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","13","Private field 'racine' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"62","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","14","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"63","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","14","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"64","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"65","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","14","Private field 'questions' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"66","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","22","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"67","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","22","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"68","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","22","Parameter 'questions' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"69","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","22","Parameter 'quizName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"70","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","22","Parameter 'racine' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"71","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","28","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"72","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/Questionnaire.java","3","28","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"73","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/SubQuestion.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"74","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/SubQuestion.java","3","10","Private field 'subQuestionName' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"75","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/SubQuestion.java","3","11","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"76","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/SubQuestion.java","3","11","Private field 'answerName' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"77","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/SubQuestion.java","3","19","Parameter 'mAnswerName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/SubQuestion.java","3","19","Parameter 'mSubQuestionName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"79","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","32","The class 'XmlToJava' has a Cyclomatic Complexity of 3 (Highest = 13).","Code Size Rules","CyclomaticComplexity"
"80","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","32","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"81","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","42","Parameter 'myFile' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"82","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","42","The method 'run' has a Cyclomatic Complexity of 13.","Code Size Rules","CyclomaticComplexity"
"83","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","42","The method run() has an NPath complexity of 2050","Code Size Rules","NPathComplexity"
"84","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","43","Found 'DD'-anomaly for variable 'document' (lines '43'-'49').","Controversial Rules","DataflowAnomalyAnalysis"
"85","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","46","Local variable 'sxb' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"86","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","2","52","System.out.print is used","Java Logging Rules","SystemPrintln"
"87","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","59","Local variable 'questionsXML' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"88","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","61","Local variable 'questions' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"89","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","62","Local variable 'quiz' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"90","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","65","Avoid variables with short names like i","Naming Rules","ShortVariable"
"91","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","65","Local variable 'i' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"92","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","72","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"93","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","75","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"94","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","78","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"95","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","81","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"96","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","84","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"97","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","115","Avoid variables with short names like e","Naming Rules","ShortVariable"
"98","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","115","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"99","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","116","Found 'DD'-anomaly for variable 'text' (lines '116'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"100","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","117","Found 'DD'-anomaly for variable 'fraction' (lines '117'-'134').","Controversial Rules","DataflowAnomalyAnalysis"
"101","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","118","Found 'DD'-anomaly for variable 'feedback' (lines '118'-'137').","Controversial Rules","DataflowAnomalyAnalysis"
"102","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","119","Found 'DD'-anomaly for variable 'tolerance' (lines '119'-'125').","Controversial Rules","DataflowAnomalyAnalysis"
"103","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","120","Found 'DD'-anomaly for variable 'toleranceType' (lines '120'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"104","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","121","Avoid excessively long variable names like correctAnswerFormat","Naming Rules","LongVariable"
"105","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","121","Found 'DD'-anomaly for variable 'correctAnswerFormat' (lines '121'-'144').","Controversial Rules","DataflowAnomalyAnalysis"
"106","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","122","Avoid excessively long variable names like correctAnswerLength","Naming Rules","LongVariable"
"107","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","122","Found 'DD'-anomaly for variable 'correctAnswerLength' (lines '122'-'147').","Controversial Rules","DataflowAnomalyAnalysis"
"108","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","125","Found 'DD'-anomaly for variable 'tolerance' (lines '125'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"109","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","127","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"110","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","130","The String literal 'text' appears 43 times in this file; the first occurrence is on line 130","String and StringBuffer Rules","AvoidDuplicateLiterals"
"111","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","150","Avoid variables with short names like a","Naming Rules","ShortVariable"
"112","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","162","Avoid variables with short names like e","Naming Rules","ShortVariable"
"113","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","162","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"114","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","166","Avoid variables with short names like u","Naming Rules","ShortVariable"
"115","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","167","Consider simply returning the value vs storing it in local variable 'u'","Design Rules","UnnecessaryLocalBeforeReturn"
"116","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","178","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"117","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","183","Consider simply returning the value vs storing it in local variable 'd'","Design Rules","UnnecessaryLocalBeforeReturn"
"118","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","194","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"119","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","195","The String literal 'name' appears 10 times in this file; the first occurrence is on line 195","String and StringBuffer Rules","AvoidDuplicateLiterals"
"120","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","201","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"121","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","203","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"122","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","205","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"123","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","207","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"124","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","249","The String literal 'questiontext' appears 17 times in this file; the first occurrence is on line 249","String and StringBuffer Rules","AvoidDuplicateLiterals"
"125","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","251","The String literal 'format' appears 8 times in this file; the first occurrence is on line 251","String and StringBuffer Rules","AvoidDuplicateLiterals"
"126","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","253","The String literal 'defaultgrade' appears 8 times in this file; the first occurrence is on line 253","String and StringBuffer Rules","AvoidDuplicateLiterals"
"127","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","259","Found 'DD'-anomaly for variable 'image_64' (lines '259'-'261').","Controversial Rules","DataflowAnomalyAnalysis"
"128","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","299","Found 'DD'-anomaly for variable 'image_64' (lines '299'-'301').","Controversial Rules","DataflowAnomalyAnalysis"
"129","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","303","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"130","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","307","Avoid excessively long variable names like partiallyCorrectFeedback","Naming Rules","LongVariable"
"131","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","388","Found 'DD'-anomaly for variable 'image_64' (lines '388'-'390').","Controversial Rules","DataflowAnomalyAnalysis"
"132","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","420","Found 'DD'-anomaly for variable 'image_64' (lines '420'-'422').","Controversial Rules","DataflowAnomalyAnalysis"
"133","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","427","Found 'DD'-anomaly for variable 'subQuestionName' (lines '427'-'432').","Controversial Rules","DataflowAnomalyAnalysis"
"134","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","427","Found 'DU'-anomaly for variable 'subQuestionName' (lines '427'-'443').","Controversial Rules","DataflowAnomalyAnalysis"
"135","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","428","Found 'DD'-anomaly for variable 'answerName' (lines '428'-'433').","Controversial Rules","DataflowAnomalyAnalysis"
"136","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","428","Found 'DU'-anomaly for variable 'answerName' (lines '428'-'443').","Controversial Rules","DataflowAnomalyAnalysis"
"137","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","434","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"138","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","495","Found 'DD'-anomaly for variable 'image_64' (lines '495'-'497').","Controversial Rules","DataflowAnomalyAnalysis"
"139","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","536","Found 'DD'-anomaly for variable 'image_64' (lines '536'-'538').","Controversial Rules","DataflowAnomalyAnalysis"
"140","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","550","Avoid excessively long variable names like datasetDefinitions","Naming Rules","LongVariable"
"141","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","3","551","Avoid excessively long variable names like datasetDefinitionsRes","Naming Rules","LongVariable"
"142","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/XmlToJava.java","5","586","Found 'DD'-anomaly for variable 'image_64' (lines '586'-'588').","Controversial Rules","DataflowAnomalyAnalysis"
"143","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"144","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"145","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","18","Private field 'type' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"146","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"147","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","19","Private field 'questionText' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"148","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"149","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","20","Private field 'format' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"150","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"151","dcll.projet.quizzer.typesQuestions","src/main/java/dcll/projet/quizzer/typesQuestions/Calculated.java","3","21","Private field 'image' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
